2018-03-07 13:37:29.834050,2018-03-07 13:37:29.346847,w,95.02
2018-03-07 13:37:31.156898,2018-03-07 13:37:30.675934,w,89.82
2018-03-07 13:37:32.833604,2018-03-07 13:37:32.156293,w,1215.65
2018-03-07 13:37:33.931780,2018-03-07 13:37:33.445986,w,121.14
2018-03-07 13:37:35.121382,2018-03-07 13:37:34.140295,d,68.46
2018-03-07 13:37:36.122919,2018-03-07 13:37:35.147189,d,60.9
2018-03-07 13:37:36.779791,2018-03-07 13:37:36.306067,w,53.91
2018-03-07 13:37:37.685329,2018-03-07 13:37:37.212560,w,48.2
2018-03-07 13:37:38.883534,2018-03-07 13:37:38.412022,w,41.51
2018-03-07 13:37:40.303033,2018-03-07 13:37:39.331103,a,38.44
2018-03-07 13:37:41.512199,2018-03-07 13:37:40.541035,a,33.78
2018-03-07 13:37:42.680420,2018-03-07 13:37:41.710392,a,27.04
2018-03-07 13:37:43.923679,2018-03-07 13:37:42.954928,a,22.74
2018-03-07 13:37:45.219301,2018-03-07 13:37:44.250143,a,20.79
2018-03-07 13:37:46.161289,2018-03-07 13:37:45.692935,w,21.57
2018-03-07 13:37:47.290522,2018-03-07 13:37:46.321048,a,25.98
2018-03-07 13:37:48.345153,2018-03-07 13:37:47.351136,a,161.73
2018-03-07 13:37:49.363435,2018-03-07 13:37:48.369765,a,159.08
2018-03-07 13:37:50.384040,2018-03-07 13:37:49.402290,a,156.33
2018-03-07 13:37:51.402027,2018-03-07 13:37:50.407587,a,154.84
2018-03-07 13:37:52.454417,2018-03-07 13:37:51.432752,a,151.62
2018-03-07 13:37:53.511314,2018-03-07 13:37:52.487739,a,152.24
2018-03-07 13:37:54.041025,2018-03-07 13:37:53.540171,w,147.63
2018-03-07 13:37:55.157776,2018-03-07 13:37:54.659289,w,145.74
2018-03-07 13:37:56.831253,2018-03-07 13:37:56.338833,w,143.91
2018-03-07 13:37:57.601312,2018-03-07 13:37:57.098275,w,141.11
2018-03-07 13:37:58.742201,2018-03-07 13:37:57.750683,d,138.87
2018-03-07 13:37:59.759315,2018-03-07 13:37:58.769659,d,136.36
2018-03-07 13:38:00.758255,2018-03-07 13:37:59.784546,d,41.42
2018-03-07 13:38:01.751694,2018-03-07 13:38:00.781049,d,36.29
2018-03-07 13:38:02.761531,2018-03-07 13:38:01.773407,d,122.82
2018-03-07 13:38:03.773102,2018-03-07 13:38:02.785193,d,119.35
2018-03-07 13:38:05.596656,2018-03-07 13:38:04.625870,d,26.1
2018-03-07 13:38:09.523112,2018-03-07 13:38:08.537661,d,110.46
2018-03-07 13:38:10.737006,2018-03-07 13:38:09.750405,d,106.74
2018-03-07 13:38:11.743718,2018-03-07 13:38:10.759868,d,97.3
2018-03-07 13:38:12.768281,2018-03-07 13:38:11.772266,d,91.25
2018-03-07 13:38:13.781511,2018-03-07 13:38:12.792718,d,90.24
2018-03-07 13:38:14.820934,2018-03-07 13:38:13.831691,d,91.63
2018-03-07 13:38:15.919651,2018-03-07 13:38:14.938171,d,87.44
2018-03-07 13:38:18.105385,2018-03-07 13:38:17.121395,d,88.07
2018-03-07 13:38:19.413639,2018-03-07 13:38:18.934199,w,70.82
2018-03-07 13:38:20.818581,2018-03-07 13:38:19.836681,a,61.72
2018-03-07 13:38:21.831893,2018-03-07 13:38:20.847805,a,23.5
2018-03-07 13:38:22.868119,2018-03-07 13:38:21.889196,a,63.16
2018-03-07 13:38:23.871005,2018-03-07 13:38:22.891059,a,66.26
2018-03-07 13:38:24.879937,2018-03-07 13:38:23.895320,a,70.72
2018-03-07 13:38:25.901938,2018-03-07 13:38:24.921945,a,68.95
2018-03-07 13:38:26.926362,2018-03-07 13:38:25.945874,a,66.79
2018-03-07 13:38:28.134976,2018-03-07 13:38:27.154447,a,64.7
